Player1,Player2,P1Wins,tourney_date,tourney_name,tourney_index,tourney_id,match_num,P1_Rank,P2_Rank,P1_Country,P1_Age,P1_Matches_Played,P1_Matches_Won,P1_Matches_Lost,P1_P_Win,P1_P_Sets,P1_Ace_Sets,P1_Elo,P2_Country,P2_Age,P2_Matches_Played,P2_Matches_Won,P2_Matches_Lost,P2_P_Win,P2_P_Sets,P2_Ace_Sets,P2_Elo
Andy Murray,Radek Stepanek,1,5/2/2016,Madrid Masters,95,2016-M021,270,2,148,GBR,28,64,51,13,0.796875,0.715083799,2.463687151,1870.144405,CZE,37,21,10,11,0.476190476,0.482142857,2.035714286,1549.107739
Pablo Carreno Busta,Gilles Simon,0,5/2/2016,Madrid Masters,95,2016-M021,271,46,18,ESP,24,48,23,25,0.479166667,0.508333333,1.925,1548.032992,FRA,31,56,34,22,0.607142857,0.573248408,1.222929936,1647.473009
Denis Kudla,David Ferrer,0,5/2/2016,Madrid Masters,95,2016-M021,272,61,9,USA,23,27,11,16,0.407407407,0.383561644,2.260273973,1456.328647,ESP,33,56,38,18,0.678571429,0.645833333,1.027777778,1690.016933
Denis Istomin,Tomas Berdych,0,5/2/2016,Madrid Masters,95,2016-M021,273,79,8,UZB,29,37,16,21,0.432432432,0.461538462,2.582417582,1405.356465,CZE,30,66,44,22,0.666666667,0.627218935,2.970414201,1743.441553
Joao Sousa,Marcel Granollers,1,5/2/2016,Madrid Masters,95,2016-M021,274,35,53,POR,27,61,30,31,0.491803279,0.487179487,1.230769231,1537.007857,ESP,30,36,14,22,0.388888889,0.413793103,1.643678161,1471.447596
Juan Martin del Potro,Jack Sock,0,5/2/2016,Madrid Masters,95,2016-M021,275,274,26,ARG,27,11,7,4,0.636363636,0.608695652,2.130434783,1549.157873,USA,23,51,31,20,0.607843137,0.580152672,2.465648855,1671.312718
Sam Querrey,Lucas Pouille,1,5/2/2016,Madrid Masters,95,2016-M021,276,37,58,USA,28,48,25,23,0.520833333,0.516949153,4.830508475,1594.223124,FRA,22,35,18,17,0.514285714,0.482352941,2.164705882,1572.91076
Rafael Nadal,Andrey Kuznetsov,1,5/2/2016,Madrid Masters,95,2016-M021,277,5,39,ESP,29,81,63,18,0.777777778,0.712871287,1.128712871,1867.991936,RUS,25,32,19,13,0.59375,0.597402597,2.103896104,1615.10974
Fabio Fognini,Kei Nishikori,0,5/2/2016,Madrid Masters,95,2016-M021,278,31,6,ITA,28,50,29,21,0.58,0.550387597,1.387596899,1596.356366,JPN,26,63,48,15,0.761904762,0.695652174,1.596273292,1840.695661
Fernando Verdasco,Richard Gasquet,0,5/2/2016,Madrid Masters,95,2016-M021,279,52,12,ESP,32,47,23,24,0.489361702,0.484848485,2.916666667,1576.808038,FRA,29,52,35,17,0.673076923,0.631205674,1.865248227,1716.670619
Pablo Cuevas,Gael Monfils,1,5/2/2016,Madrid Masters,95,2016-M021,280,27,15,URU,30,53,29,24,0.547169811,0.544117647,2.566176471,1628.849671,FRA,29,50,35,15,0.7,0.666666667,3.437037037,1714.746997
Stan Wawrinka,Nick Kyrgios,0,5/2/2016,Madrid Masters,95,2016-M021,281,4,21,SUI,31,69,52,17,0.753623188,0.725274725,3.131868132,1771.364573,AUS,20,45,29,16,0.644444444,0.633928571,4.758928571,1738.585159
Jo-Wilfried Tsonga,Albert Ramos,1,5/2/2016,Madrid Masters,95,2016-M021,282,7,56,FRA,30,61,42,19,0.68852459,0.644970414,3.798816568,1712.75724,ESP,28,41,16,25,0.390243902,0.401960784,1.31372549,1483.567738
Alexandr Dolgopolov,Milos Raonic,0,5/2/2016,Madrid Masters,95,2016-M021,283,29,10,UKR,27,49,26,23,0.530612245,0.53968254,2.968253968,1620.011135,CAN,25,45,33,12,0.733333333,0.658333333,5.158333333,1804.696676
Feliciano Lopez,Roberto Bautista Agut,0,5/2/2016,Madrid Masters,95,2016-M021,284,23,17,ESP,34,56,30,26,0.535714286,0.543046358,4.622516556,1576.65895,ESP,28,69,44,25,0.637681159,0.604395604,1.510989011,1687.122463
Borna Coric,Novak Djokovic,0,5/2/2016,Madrid Masters,95,2016-M021,285,40,1,CRO,19,53,26,27,0.490566038,0.459259259,1.785185185,1547.322961,SRB,28,83,78,5,0.939759036,0.861111111,2.013888889,2071.830805
Andy Murray,Gilles Simon,1,5/2/2016,Madrid Masters,95,2016-M021,286,2,18,GBR,28,64,51,13,0.796875,0.715083799,2.463687151,1870.144405,FRA,31,56,34,22,0.607142857,0.573248408,1.222929936,1647.473009
Tomas Berdych,David Ferrer,1,5/2/2016,Madrid Masters,95,2016-M021,287,8,9,CZE,30,66,44,22,0.666666667,0.627218935,2.970414201,1743.441553,ESP,33,56,38,18,0.678571429,0.645833333,1.027777778,1690.016933
Jack Sock,Joao Sousa,0,5/2/2016,Madrid Masters,95,2016-M021,288,26,35,USA,23,51,31,20,0.607843137,0.580152672,2.465648855,1671.312718,POR,27,61,30,31,0.491803279,0.487179487,1.230769231,1537.007857
Sam Querrey,Rafael Nadal,0,5/2/2016,Madrid Masters,95,2016-M021,289,37,5,USA,28,48,25,23,0.520833333,0.516949153,4.830508475,1594.223124,ESP,29,81,63,18,0.777777778,0.712871287,1.128712871,1867.991936
Richard Gasquet,Kei Nishikori,0,5/2/2016,Madrid Masters,95,2016-M021,290,12,6,FRA,29,52,35,17,0.673076923,0.631205674,1.865248227,1716.670619,JPN,26,63,48,15,0.761904762,0.695652174,1.596273292,1840.695661
Nick Kyrgios,Pablo Cuevas,1,5/2/2016,Madrid Masters,95,2016-M021,291,21,27,AUS,20,45,29,16,0.644444444,0.633928571,4.758928571,1738.585159,URU,30,53,29,24,0.547169811,0.544117647,2.566176471,1628.849671
Milos Raonic,Jo-Wilfried Tsonga,1,5/2/2016,Madrid Masters,95,2016-M021,292,10,7,CAN,25,45,33,12,0.733333333,0.658333333,5.158333333,1804.696676,FRA,30,61,42,19,0.68852459,0.644970414,3.798816568,1712.75724
Roberto Bautista Agut,Novak Djokovic,0,5/2/2016,Madrid Masters,95,2016-M021,293,17,1,ESP,28,69,44,25,0.637681159,0.604395604,1.510989011,1687.122463,SRB,28,83,78,5,0.939759036,0.861111111,2.013888889,2071.830805
Tomas Berdych,Andy Murray,0,5/2/2016,Madrid Masters,95,2016-M021,294,8,2,CZE,30,66,44,22,0.666666667,0.627218935,2.970414201,1743.441553,GBR,28,64,51,13,0.796875,0.715083799,2.463687151,1870.144405
Joao Sousa,Rafael Nadal,0,5/2/2016,Madrid Masters,95,2016-M021,295,35,5,POR,27,61,30,31,0.491803279,0.487179487,1.230769231,1537.007857,ESP,29,81,63,18,0.777777778,0.712871287,1.128712871,1867.991936
Nick Kyrgios,Kei Nishikori,0,5/2/2016,Madrid Masters,95,2016-M021,296,21,6,AUS,20,45,29,16,0.644444444,0.633928571,4.758928571,1738.585159,JPN,26,63,48,15,0.761904762,0.695652174,1.596273292,1840.695661
Milos Raonic,Novak Djokovic,0,5/2/2016,Madrid Masters,95,2016-M021,297,10,1,CAN,25,45,33,12,0.733333333,0.658333333,5.158333333,1804.696676,SRB,28,83,78,5,0.939759036,0.861111111,2.013888889,2071.830805
Andy Murray,Rafael Nadal,1,5/2/2016,Madrid Masters,95,2016-M021,298,2,5,GBR,28,64,51,13,0.796875,0.715083799,2.463687151,1870.144405,ESP,29,81,63,18,0.777777778,0.712871287,1.128712871,1867.991936
Kei Nishikori,Novak Djokovic,0,5/2/2016,Madrid Masters,95,2016-M021,299,6,1,JPN,26,63,48,15,0.761904762,0.695652174,1.596273292,1840.695661,SRB,28,83,78,5,0.939759036,0.861111111,2.013888889,2071.830805
Novak Djokovic,Andy Murray,1,5/2/2016,Madrid Masters,95,2016-M021,300,1,2,SRB,28,83,78,5,0.939759036,0.861111111,2.013888889,2071.830805,GBR,28,64,51,13,0.796875,0.715083799,2.463687151,1870.144405
Borna Coric,Mikhail Kukushkin,0,5/9/2016,Rome Masters,96,2016-M009,239,41,87,CRO,19,55,27,28,0.490909091,0.460431655,1.805755396,1530.02204,KAZ,28,33,12,21,0.363636364,0.382716049,1.061728395,1482.096572
Jeremy Chardy,Damir Dzumhur,1,5/9/2016,Rome Masters,96,2016-M009,240,32,75,FRA,29,52,26,26,0.5,0.503597122,2.971223022,1544.826674,BIH,23,30,14,16,0.466666667,0.43902439,0.853658537,1502.253216
Paolo Lorenzi,Roberto Bautista Agut,0,5/9/2016,Rome Masters,96,2016-M009,241,53,17,ITA,34,31,13,18,0.419354839,0.4,1.9375,1452.528507,ESP,28,69,44,25,0.637681159,0.601092896,1.50273224,1674.370296
David Goffin,Leonardo Mayer,1,5/9/2016,Rome Masters,96,2016-M009,242,13,49,BEL,25,62,40,22,0.64516129,0.602409639,2.126506024,1697.725314,ARG,28,44,22,22,0.5,0.513513514,2.324324324,1498.804611
Jack Sock,Guido Pella,1,5/9/2016,Rome Masters,96,2016-M009,243,27,50,USA,23,52,32,20,0.615384615,0.582089552,2.395522388,1664.118105,ARG,25,22,10,12,0.454545455,0.451612903,1.887096774,1486.514575
Sam Querrey,Albert Ramos,0,5/9/2016,Rome Masters,96,2016-M009,244,36,57,USA,28,49,26,23,0.530612245,0.520661157,4.909090909,1575.682673,ESP,28,41,16,25,0.390243902,0.411764706,1.31372549,1495.735065
Steve Johnson,Juan Monaco,0,5/9/2016,Rome Masters,96,2016-M009,248,34,114,USA,26,52,26,26,0.5,0.482014388,3.913669065,1520.697918,ARG,32,23,12,11,0.52173913,0.482758621,0.586206897,1649.040082
Kevin Anderson,Feliciano Lopez,1,5/9/2016,Rome Masters,96,2016-M009,249,19,23,RSA,29,45,29,16,0.644444444,0.612903226,6.39516129,1631.149933,ESP,34,56,30,26,0.535714286,0.546052632,4.532894737,1564.727501
David Ferrer,Filippo Volandri,1,5/9/2016,Rome Masters,96,2016-M009,250,9,203,ESP,34,56,38,18,0.678571429,0.64137931,1.013793103,1686.474754,NA,NA,0,0,0,0,0,0,1500
Guillermo Garcia Lopez,Fabio Fognini,1,5/9/2016,Rome Masters,96,2016-M009,251,51,31,ESP,32,51,24,27,0.470588235,0.484848485,2.045454545,1542.77749,ITA,28,50,29,21,0.58,0.550387597,1.395348837,1580.808875
Ivo Karlovic,Ernests Gulbis,0,5/9/2016,Rome Masters,96,2016-M009,252,29,84,CRO,37,50,27,23,0.54,0.52238806,8.701492537,1488.124572,LAT,27,32,12,20,0.375,0.402439024,3.87804878,1407.834082
Viktor Troicki,Teymuraz Gabashvili,1,5/9/2016,Rome Masters,96,2016-M009,255,24,60,SRB,30,60,33,27,0.55,0.50310559,3.391304348,1565.638614,RUS,30,39,15,24,0.384615385,0.404040404,2.01010101,1344.304265
Vasek Pospisil,Andreas Seppi,0,5/9/2016,Rome Masters,96,2016-M009,256,46,42,CAN,25,44,21,23,0.477272727,0.475,3.908333333,1446.200353,ITA,32,40,17,23,0.425,0.442307692,2.048076923,1511.931868
Julien Benneteau,Richard Gasquet,0,5/9/2016,Rome Masters,96,2016-M009,257,607,12,FRA,34,4,0,4,0,0.1,4,1365.971047,FRA,29,53,36,17,0.679245283,0.631944444,1.847222222,1717.336239
Dominic Thiem,Alexandr Dolgopolov,1,5/9/2016,Rome Masters,96,2016-M009,258,15,28,AUT,22,72,48,24,0.666666667,0.596774194,2.462365591,1715.674863,UKR,27,51,27,24,0.529411765,0.537878788,2.946969697,1605.978442
Joao Sousa,Lorenzo Sonego,1,5/9/2016,Rome Masters,96,2016-M009,259,30,333,POR,27,63,32,31,0.507936508,0.5,1.203703704,1540.940812,NA,NA,0,0,0,0,0,0,1500
Alexander Zverev,Grigor Dimitrov,1,5/9/2016,Rome Masters,96,2016-M009,260,44,35,GER,19,49,28,21,0.571428571,0.53030303,2.416666667,1593.545005,BUL,24,56,33,23,0.589285714,0.589041096,2.671232877,1610.008256
Philipp Kohlschreiber,Inigo Cervantes Huegun,1,5/9/2016,Rome Masters,96,2016-M009,263,26,65,GER,32,55,35,20,0.636363636,0.602941176,1.860294118,1684.514647,ESP,26,22,9,13,0.409090909,0.425925926,2.907407407,1443.976069
Nick Kyrgios,Salvatore Caruso,1,5/9/2016,Rome Masters,96,2016-M009,264,20,251,AUS,21,46,30,16,0.652173913,0.640350877,4.789473684,1751.957192,NA,NA,0,0,0,0,0,0,1500
Milos Raonic,Marco Cecchinato,1,5/9/2016,Rome Masters,96,2016-M009,265,10,119,CAN,25,46,34,12,0.739130435,0.658536585,5.056910569,1790.320968,ITA,23,12,2,10,0.166666667,0.24137931,1.103448276,1372.684314
Thomaz Bellucci,Gael Monfils,1,5/9/2016,Rome Masters,96,2016-M009,266,37,14,BRA,28,50,23,27,0.46,0.472440945,2.023622047,1479.499955,FRA,29,50,35,15,0.7,0.666666667,3.496296296,1691.611225
Pablo Cuevas,Nicolas Mahut,0,5/9/2016,Rome Masters,96,2016-M009,267,25,48,URU,30,55,31,24,0.563636364,0.549295775,2.563380282,1607.956066,FRA,34,36,18,18,0.5,0.520833333,2.427083333,1467.062559
Aljaz Bedene,Stephane Robert,0,5/9/2016,Rome Masters,96,2016-M009,268,69,103,SLO,26,37,15,22,0.405405405,0.422680412,3.051546392,1429.512178,FRA,35,9,4,5,0.444444444,0.461538462,2.153846154,1461.31149
Andy Murray,Mikhail Kukushkin,1,5/9/2016,Rome Masters,96,2016-M009,270,3,87,GBR,28,64,50,14,0.78125,0.705555556,2.566666667,1910.663051,KAZ,28,33,12,21,0.363636364,0.382716049,1.061728395,1482.096572
Jeremy Chardy,Roberto Bautista Agut,1,5/9/2016,Rome Masters,96,2016-M009,271,32,17,FRA,29,52,26,26,0.5,0.503597122,2.971223022,1544.826674,ESP,28,69,44,25,0.637681159,0.601092896,1.50273224,1674.370296
Jack Sock,David Goffin,0,5/9/2016,Rome Masters,96,2016-M009,272,27,13,USA,23,52,32,20,0.615384615,0.582089552,2.395522388,1664.118105,BEL,25,62,40,22,0.64516129,0.602409639,2.126506024,1697.725314
Albert Ramos,Tomas Berdych,0,5/9/2016,Rome Masters,96,2016-M009,273,57,8,ESP,28,41,16,25,0.390243902,0.411764706,1.31372549,1495.735065,CZE,30,65,43,22,0.661538462,0.626506024,2.873493976,1732.499299
Stan Wawrinka,Benoit Paire,1,5/9/2016,Rome Masters,96,2016-M009,274,4,21,SUI,31,68,51,17,0.75,0.720670391,3.195530726,1758.872748,FRA,26,59,34,25,0.576271186,0.538461538,2.955128205,1580.043218
Juan Monaco,Kevin Anderson,1,5/9/2016,Rome Masters,96,2016-M009,275,114,19,ARG,32,23,12,11,0.52173913,0.482758621,0.586206897,1649.040082,RSA,29,45,29,16,0.644444444,0.612903226,6.39516129,1631.149933
Guillermo Garcia Lopez,David Ferrer,0,5/9/2016,Rome Masters,96,2016-M009,276,51,9,ESP,32,51,24,27,0.470588235,0.484848485,2.045454545,1542.77749,ESP,34,56,38,18,0.678571429,0.64137931,1.013793103,1686.474754
Lucas Pouille,Ernests Gulbis,1,5/9/2016,Rome Masters,96,2016-M009,277,52,84,FRA,22,37,19,18,0.513513514,0.483516484,2.208791209,1596.191658,LAT,27,32,12,20,0.375,0.402439024,3.87804878,1407.834082
Viktor Troicki,Kei Nishikori,0,5/9/2016,Rome Masters,96,2016-M009,278,24,6,SRB,30,60,33,27,0.55,0.50310559,3.391304348,1565.638614,JPN,26,63,48,15,0.761904762,0.691358025,1.611111111,1856.4864
Andreas Seppi,Richard Gasquet,0,5/9/2016,Rome Masters,96,2016-M009,279,42,12,ITA,32,40,17,23,0.425,0.442307692,2.048076923,1511.931868,FRA,29,53,36,17,0.679245283,0.631944444,1.847222222,1717.336239
Dominic Thiem,Joao Sousa,1,5/9/2016,Rome Masters,96,2016-M009,280,15,30,AUT,22,72,48,24,0.666666667,0.596774194,2.462365591,1715.674863,POR,27,63,32,31,0.507936508,0.5,1.203703704,1540.940812
Roger Federer,Alexander Zverev,1,5/9/2016,Rome Masters,96,2016-M009,281,2,44,SUI,34,60,50,10,0.833333333,0.79375,3.0625,1870.216378,GER,19,49,28,21,0.571428571,0.53030303,2.416666667,1593.545005
Rafael Nadal,Philipp Kohlschreiber,1,5/9/2016,Rome Masters,96,2016-M009,282,5,26,ESP,29,80,62,18,0.775,0.706467662,1.134328358,1876.975305,GER,32,55,35,20,0.636363636,0.602941176,1.860294118,1684.514647
Milos Raonic,Nick Kyrgios,0,5/9/2016,Rome Masters,96,2016-M009,283,10,20,CAN,25,46,34,12,0.739130435,0.658536585,5.056910569,1790.320968,AUS,21,46,30,16,0.652173913,0.640350877,4.789473684,1751.957192
Nicolas Mahut,Thomaz Bellucci,0,5/9/2016,Rome Masters,96,2016-M009,284,48,37,FRA,34,36,18,18,0.5,0.520833333,2.427083333,1467.062559,BRA,28,50,23,27,0.46,0.472440945,2.023622047,1479.499955
Novak Djokovic,Stephane Robert,1,5/9/2016,Rome Masters,96,2016-M009,285,1,103,SRB,28,88,83,5,0.943181818,0.863436123,1.960352423,2066.36228,FRA,35,9,4,5,0.444444444,0.461538462,2.153846154,1461.31149
Andy Murray,Jeremy Chardy,1,5/9/2016,Rome Masters,96,2016-M009,286,3,32,GBR,28,64,50,14,0.78125,0.705555556,2.566666667,1910.663051,FRA,29,52,26,26,0.5,0.503597122,2.971223022,1544.826674
Tomas Berdych,David Goffin,0,5/9/2016,Rome Masters,96,2016-M009,287,8,13,CZE,30,65,43,22,0.661538462,0.626506024,2.873493976,1732.499299,BEL,25,62,40,22,0.64516129,0.602409639,2.126506024,1697.725314
Stan Wawrinka,Juan Monaco,0,5/9/2016,Rome Masters,96,2016-M009,288,4,114,SUI,31,68,51,17,0.75,0.720670391,3.195530726,1758.872748,ARG,32,23,12,11,0.52173913,0.482758621,0.586206897,1649.040082
David Ferrer,Lucas Pouille,0,5/9/2016,Rome Masters,96,2016-M009,289,9,52,ESP,34,56,38,18,0.678571429,0.64137931,1.013793103,1686.474754,FRA,22,37,19,18,0.513513514,0.483516484,2.208791209,1596.191658
Richard Gasquet,Kei Nishikori,0,5/9/2016,Rome Masters,96,2016-M009,290,12,6,FRA,29,53,36,17,0.679245283,0.631944444,1.847222222,1717.336239,JPN,26,63,48,15,0.761904762,0.691358025,1.611111111,1856.4864
Roger Federer,Dominic Thiem,0,5/9/2016,Rome Masters,96,2016-M009,291,2,15,SUI,34,60,50,10,0.833333333,0.79375,3.0625,1870.216378,AUT,22,72,48,24,0.666666667,0.596774194,2.462365591,1715.674863
Rafael Nadal,Nick Kyrgios,1,5/9/2016,Rome Masters,96,2016-M009,292,5,20,ESP,29,80,62,18,0.775,0.706467662,1.134328358,1876.975305,AUS,21,46,30,16,0.652173913,0.640350877,4.789473684,1751.957192
Novak Djokovic,Thomaz Bellucci,1,5/9/2016,Rome Masters,96,2016-M009,293,1,37,SRB,28,88,83,5,0.943181818,0.863436123,1.960352423,2066.36228,BRA,28,50,23,27,0.46,0.472440945,2.023622047,1479.499955
Andy Murray,David Goffin,1,5/9/2016,Rome Masters,96,2016-M009,294,3,13,GBR,28,64,50,14,0.78125,0.705555556,2.566666667,1910.663051,BEL,25,62,40,22,0.64516129,0.602409639,2.126506024,1697.725314
Kei Nishikori,Dominic Thiem,1,5/9/2016,Rome Masters,96,2016-M009,296,6,15,JPN,26,63,48,15,0.761904762,0.691358025,1.611111111,1856.4864,AUT,22,72,48,24,0.666666667,0.596774194,2.462365591,1715.674863
Rafael Nadal,Novak Djokovic,0,5/9/2016,Rome Masters,96,2016-M009,297,5,1,ESP,29,80,62,18,0.775,0.706467662,1.134328358,1876.975305,SRB,28,88,83,5,0.943181818,0.863436123,1.960352423,2066.36228
Andy Murray,Lucas Pouille,1,5/9/2016,Rome Masters,96,2016-M009,298,3,52,GBR,28,64,50,14,0.78125,0.705555556,2.566666667,1910.663051,FRA,22,37,19,18,0.513513514,0.483516484,2.208791209,1596.191658
Novak Djokovic,Kei Nishikori,1,5/9/2016,Rome Masters,96,2016-M009,299,1,6,SRB,28,88,83,5,0.943181818,0.863436123,1.960352423,2066.36228,JPN,26,63,48,15,0.761904762,0.691358025,1.611111111,1856.4864
Andy Murray,Novak Djokovic,1,5/9/2016,Rome Masters,96,2016-M009,300,3,1,GBR,28,64,50,14,0.78125,0.705555556,2.566666667,1910.663051,SRB,28,88,83,5,0.943181818,0.863436123,1.960352423,2066.36228
Denis Istomin,Florian Mayer,1,5/16/2016,Geneva,97,2016-0322,271,64,236,UZB,29,39,17,22,0.435897436,0.463157895,2.631578947,1425.308844,GER,32,9,4,5,0.444444444,0.391304348,1.826086957,1432.21505
Evgeny Donskoy,Rajeev Ram,0,5/16/2016,Geneva,97,2016-0322,272,78,73,RUS,25,18,7,11,0.388888889,0.446808511,2.042553191,1411.782969,USA,32,29,15,14,0.517241379,0.519480519,3.324675325,1497.881876
Sam Querrey,Guillermo Garcia Lopez,0,5/16/2016,Geneva,97,2016-0322,273,37,55,USA,28,49,26,23,0.530612245,0.520661157,4.909090909,1560.171243,ESP,32,50,23,27,0.46,0.476923077,2,1562.904866
Ricardas Berankis,Ernests Gulbis,0,5/16/2016,Geneva,97,2016-0322,275,52,76,LTU,25,28,12,16,0.428571429,0.460526316,2.065789474,1443.712569,LAT,27,33,13,20,0.393939394,0.411764706,3.835294118,1421.944645
Thomaz Bellucci,Mikhail Kukushkin,1,5/16/2016,Geneva,97,2016-0322,276,39,81,BRA,28,51,24,27,0.470588235,0.484375,1.953125,1484.494043,KAZ,28,35,13,22,0.371428571,0.38372093,1.034883721,1465.954321
Janko Tipsarevic,Federico Delbonis,0,5/16/2016,Geneva,97,2016-0322,277,686,33,SRB,31,4,0,4,0,0.166666667,1.583333333,1404.501382,ARG,25,47,27,20,0.574468085,0.541666667,1.508333333,1593.630657
Steve Johnson,Mikhail Youzhny,1,5/16/2016,Geneva,97,2016-0322,278,35,77,USA,26,52,26,26,0.5,0.482014388,3.913669065,1520.025562,RUS,33,23,7,16,0.304347826,0.345454545,1.254545455,1394.708582
Andrey Kuznetsov,Dudi Sela,1,5/16/2016,Geneva,97,2016-0322,279,40,62,RUS,25,34,20,14,0.588235294,0.592592593,2.037037037,1612.422266,ISR,31,19,7,12,0.368421053,0.433962264,0.698113208,1408.403036
Lukas Rosol,Roberto Ortega Olmedo,1,5/16/2016,Geneva,97,2016-0322,280,68,310,CZE,30,47,20,27,0.425531915,0.450819672,2.475409836,1527.128451,NA,NA,0,0,0,0,0,0,1500
Inigo Cervantes Huegun,Andreas Beck,1,5/16/2016,Geneva,97,2016-0322,282,61,338,ESP,26,23,9,14,0.391304348,0.410714286,2.892857143,1449.961378,GER,28,0,0,0,NA,NA,NA,1376.413985
Pablo Carreno Busta,Cristian Garin,1,5/16/2016,Geneva,97,2016-0322,283,43,340,ESP,24,50,24,26,0.48,0.512,1.936,1563.20577,NA,NA,0,0,0,0,0,0,1500
Teymuraz Gabashvili,Albert Ramos,0,5/16/2016,Geneva,97,2016-0322,284,80,53,RUS,30,40,15,25,0.375,0.396039604,1.98019802,1331.194662,ESP,28,43,17,26,0.395348837,0.41509434,1.349056604,1498.616232
Guillermo Garcia Lopez,Rajeev Ram,1,5/16/2016,Geneva,97,2016-0322,287,55,73,ESP,32,50,23,27,0.46,0.476923077,2,1562.904866,USA,32,29,15,14,0.517241379,0.519480519,3.324675325,1497.881876
Marin Cilic,Ernests Gulbis,1,5/16/2016,Geneva,97,2016-0322,288,11,76,CRO,27,66,44,22,0.666666667,0.620879121,4.549450549,1675.460073,LAT,27,33,13,20,0.393939394,0.411764706,3.835294118,1421.944645
Thomaz Bellucci,Federico Delbonis,0,5/16/2016,Geneva,97,2016-0322,289,39,33,BRA,28,51,24,27,0.470588235,0.484375,1.953125,1484.494043,ARG,25,47,27,20,0.574468085,0.541666667,1.508333333,1593.630657
Steve Johnson,Andrey Kuznetsov,0,5/16/2016,Geneva,97,2016-0322,290,35,40,USA,26,52,26,26,0.5,0.482014388,3.913669065,1520.025562,RUS,25,34,20,14,0.588235294,0.592592593,2.037037037,1612.422266
John Isner,Lukas Rosol,0,5/16/2016,Geneva,97,2016-0322,291,17,68,USA,30,57,36,21,0.631578947,0.622516556,7.80794702,1605.625662,CZE,30,47,20,27,0.425531915,0.450819672,2.475409836,1527.128451
Inigo Cervantes Huegun,Pablo Carreno Busta,0,5/16/2016,Geneva,97,2016-0322,292,61,43,ESP,26,23,9,14,0.391304348,0.410714286,2.892857143,1449.961378,ESP,24,50,24,26,0.48,0.512,1.936,1563.20577
Stan Wawrinka,Albert Ramos,1,5/16/2016,Geneva,97,2016-0322,293,4,53,SUI,31,66,49,17,0.742424242,0.715909091,3.198863636,1786.32131,ESP,28,43,17,26,0.395348837,0.41509434,1.349056604,1498.616232
Guillermo Garcia Lopez,David Ferrer,0,5/16/2016,Geneva,97,2016-0322,294,55,12,ESP,32,50,23,27,0.46,0.476923077,2,1562.904866,ESP,34,55,37,18,0.672727273,0.636363636,1.006993007,1680.727798
Marin Cilic,Federico Delbonis,1,5/16/2016,Geneva,97,2016-0322,295,11,33,CRO,27,66,44,22,0.666666667,0.620879121,4.549450549,1675.460073,ARG,25,47,27,20,0.574468085,0.541666667,1.508333333,1593.630657
Lukas Rosol,Andrey Kuznetsov,1,5/16/2016,Geneva,97,2016-0322,296,68,40,CZE,30,47,20,27,0.425531915,0.450819672,2.475409836,1527.128451,RUS,25,34,20,14,0.588235294,0.592592593,2.037037037,1612.422266
Stan Wawrinka,Pablo Carreno Busta,1,5/16/2016,Geneva,97,2016-0322,297,4,43,SUI,31,66,49,17,0.742424242,0.715909091,3.198863636,1786.32131,ESP,24,50,24,26,0.48,0.512,1.936,1563.20577
Marin Cilic,David Ferrer,1,5/16/2016,Geneva,97,2016-0322,298,11,12,CRO,27,66,44,22,0.666666667,0.620879121,4.549450549,1675.460073,ESP,34,55,37,18,0.672727273,0.636363636,1.006993007,1680.727798
Lukas Rosol,Stan Wawrinka,0,5/16/2016,Geneva,97,2016-0322,299,68,4,CZE,30,47,20,27,0.425531915,0.450819672,2.475409836,1527.128451,SUI,31,66,49,17,0.742424242,0.715909091,3.198863636,1786.32131
Marin Cilic,Stan Wawrinka,0,5/16/2016,Geneva,97,2016-0322,300,11,4,CRO,27,66,44,22,0.666666667,0.620879121,4.549450549,1675.460073,SUI,31,66,49,17,0.742424242,0.715909091,3.198863636,1786.32131
Taylor Fritz,Illya Marchenko,1,5/16/2016,Nice,98,2016-6120,271,72,69,USA,18,15,8,7,0.533333333,0.526315789,3.526315789,1528.381276,UKR,28,26,12,14,0.461538462,0.485294118,2.117647059,1458.078233
Marcel Granollers,Brian Baker,1,5/16/2016,Nice,98,2016-6120,272,58,669,ESP,30,34,13,21,0.382352941,0.414634146,1.658536585,1474.175598,USA,30,2,0,2,0,0.166666667,2.833333333,1386.103368
Fernando Verdasco,Diego Schwartzman,0,5/16/2016,Nice,98,2016-6120,275,56,65,ESP,32,46,22,24,0.47826087,0.484375,2.9765625,1560.363826,ARG,23,28,12,16,0.428571429,0.44,0.973333333,1500.209331
Victor Estrella,Denis Kudla,1,5/16/2016,Nice,98,2016-6120,276,88,57,DOM,35,30,13,17,0.433333333,0.41025641,1.58974359,1499.052587,USA,23,29,12,17,0.413793103,0.392405063,2.278481013,1439.859751
Quentin Halys,Joao Sousa,0,5/16/2016,Nice,98,2016-6120,277,154,28,FRA,19,7,2,5,0.285714286,0.263157895,3.526315789,1430.959503,POR,27,64,33,31,0.515625,0.503030303,1.187878788,1567.124343
Donald Young,Fabio Fognini,1,5/16/2016,Nice,98,2016-6120,278,82,34,USA,26,32,12,20,0.375,0.418604651,1.174418605,1469.354177,ITA,28,48,27,21,0.5625,0.536585366,1.37398374,1563.29453
Guido Pella,Daniil Medvedev,1,5/16/2016,Nice,98,2016-6120,279,54,244,ARG,25,23,10,13,0.434782609,0.446153846,1.876923077,1502.054609,NA,NA,0,0,0,0,0,0,1500
